Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Organization Industries,Lead Investors
Series A - Valtix,https://www.crunchbase.com/funding_round/valtix-series-a--8cc470a6,"Santa Clara, California, United States, North America",Valtix,https://www.crunchbase.com/organization/valtix,Series A,14000000,USD,14000000,2019-06-19,"Cloud Security, Cyber Security, DevOps, Network Security, SaaS",
Series A - ProtectWise,https://www.crunchbase.com/funding_round/protectwise-series-a--ffdb3f61,"Denver, Colorado, United States, North America",ProtectWise,https://www.crunchbase.com/organization/protectwise,Series A,14100000,USD,14100000,2014-06-10,"Cloud Security, Cyber Security, Network Security, SaaS",
Series A - CLUSH,https://www.crunchbase.com/funding_round/clush-series-a--990bef82,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",CLUSH,https://www.crunchbase.com/organization/clush,Series A,20000000000,KRW,14286360,2024-11-20,"Artificial Intelligence (AI), Cloud Management, Cyber Security, Private Cloud, Real Time","AON Investment, P&I Investment"
Series A - Compellent Technologies,https://www.crunchbase.com/funding_round/compellent-technologies-series-a--0d7c06bd,"Eden Prairie, Minnesota, United States, North America",Compellent Technologies,https://www.crunchbase.com/organization/compellent-technologies,Series A,14310000,USD,14310000,2003-07-18,"Cyber Security, Network Security, Software",Cargill Ventures
Series A - Versa Networks,https://www.crunchbase.com/funding_round/versa-networks-series-a--cf1bbc55,"Santa Clara, California, United States, North America",Versa Networks,https://www.crunchbase.com/organization/versa-networks,Series A,14350000,USD,14350000,2012-11-27,"Cyber Security, Information Technology, Infrastructure, Network Security",Sequoia Capital
Series A - ArcSight,https://www.crunchbase.com/funding_round/arcsight-inc-series-a--b21e6291,"Palo Alto, California, United States, North America",ArcSight,https://www.crunchbase.com/organization/arcsight-inc,Series A,14439000,USD,14439000,2000-01-01,"Cyber Security, Enterprise, Information Technology, Risk Management, Security, Software",
Series A - Concentric AI,https://www.crunchbase.com/funding_round/concentric-inc-series-a--5086d1da,"San Jose, California, United States, North America",Concentric AI,https://www.crunchbase.com/organization/concentric-inc,Series A,14500000,USD,14500000,2022-05-11,"Artificial Intelligence (AI), Cyber Security, Network Security, Software",Ballistic Ventures
Series A - DataVisor,https://www.crunchbase.com/funding_round/datavisor-series-a--c6eb9c39,"Mountain View, California, United States, North America",DataVisor,https://www.crunchbase.com/organization/datavisor,Series A,14500000,USD,14500000,2015-10-13,"Artificial Intelligence (AI), Big Data, Cyber Security, Fraud Detection, Machine Learning","GSR Ventures, New Enterprise Associates"
Series A - Alto,https://www.crunchbase.com/funding_round/alto-d162-series-a--027844fa,"Dallas, Texas, United States, North America",Alto,https://www.crunchbase.com/organization/alto-d162,Series A,14500000,USD,14500000,2019-01-22,"Automotive, Cyber Security, Hospitality, Information Technology, Ride Sharing, Software, Transportation",Road Ventures
Series A - CAF,https://www.crunchbase.com/funding_round/caf-7431-series-a--c7652840,"Rio Grande Do Sul, Rio Grande do Sul, Brazil, South America",CAF,https://www.crunchbase.com/organization/caf-7431,Series A,80000000,BRL,14547303,2022-07-21,"Artificial Intelligence (AI), Cyber Security, Fraud Detection, Information Services, Information Technology, Professional Services, Security",Parallax Ventures
Series A - RedSeal,https://www.crunchbase.com/funding_round/redseal-systems-series-a--6001d9ea,"Sunnyvale, California, United States, North America",RedSeal,https://www.crunchbase.com/organization/redseal-systems,Series A,14600000,USD,14600000,2006-04-28,"Analytics, Computer, Cyber Security, Mobile, Security, Software",Venrock
Series A - Alsid,https://www.crunchbase.com/funding_round/alsid-series-a--7d42c8b5,"Paris, Ile-de-France, France, Europe",Alsid,https://www.crunchbase.com/organization/alsid,Series A,13000000,EUR,14685698,2019-04-17,"Cyber Security, Information Technology, Security",Idinvest Partners
Series A - Garrison Technology,https://www.crunchbase.com/funding_round/garrison-technology-series-a--89f4a1ec,"London, England, United Kingdom, Europe",Garrison Technology,https://www.crunchbase.com/organization/garrison-technology,Series A,12000000,GBP,14686624,2017-03-06,"Cyber Security, Network Security",Touchstone Innovations
Series A - ForAllSecure,https://www.crunchbase.com/funding_round/forallsecure-series-a--0f22529f,"Pittsburgh, Pennsylvania, United States, North America",ForAllSecure,https://www.crunchbase.com/organization/forallsecure,Series A,14700000,USD,14700000,2019-03-27,"Autonomous Vehicles, Cyber Security, Network Security, Security, Software",
Series A - Avanan,https://www.crunchbase.com/funding_round/avanan-series-a--5969cf52,"New York, New York, United States, North America",Avanan,https://www.crunchbase.com/organization/avanan,Series A,14900000,USD,14900000,2016-05-17,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Email, Internet, Machine Learning, SaaS, Software","Greenfield Cities Holdings, L.P., TPG Growth"
Series A - Insight Technology,https://www.crunchbase.com/funding_round/insight-technology-b26e-series-a--f1e3be46,"Beijing, Beijing, China, Asia",Insight Technology,https://www.crunchbase.com/organization/insight-technology-b26e,Series A,100000000,CNY,14936074,2022-07-08,"Blockchain, Cyber Security, Software",Green Pine Capital Partners
