Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Organization Industries,Lead Investors
Series A - SafeBase,https://www.crunchbase.com/funding_round/safebase-ffd0-series-a--6f40c451,"San Francisco, California, United States, North America",SafeBase,https://www.crunchbase.com/organization/safebase-ffd0,Series A,18000000,USD,18000000,2022-03-10,"Cloud Security, Cyber Security, Network Security, Sales Automation",New Enterprise Associates
Series A - Privy,https://www.crunchbase.com/funding_round/privy-4265-series-a--fec22f59,"New York, New York, United States, North America",Privy,https://www.crunchbase.com/organization/privy-4265,Series A,18000000,USD,18000000,2023-11-21,"Cryptocurrency, Cyber Security, Developer APIs, Identity Management, Web3",Paradigm
Series A - Darktrace,https://www.crunchbase.com/funding_round/darktrace-series-a--e6cf893a,"Cambridge, Cambridgeshire, United Kingdom, Europe",Darktrace,https://www.crunchbase.com/organization/darktrace,Series A,18000000,USD,18000000,2015-03-17,"Artificial Intelligence (AI), Cyber Security, Information Technology, Machine Learning, Network Security","Invoke Capital, Talis Capital"
Series A - InCountry,https://www.crunchbase.com/funding_round/incountry-series-a--2b0b15a6,"San Francisco, California, United States, North America",InCountry,https://www.crunchbase.com/organization/incountry,Series A,18000000,USD,18000000,2020-09-01,"Artificial Intelligence (AI), Compliance, Cyber Security, Data Management, Data Storage, Information Technology","Caffeinated Capital, Mubadala Capital Ventures"
Series A - Guardz,https://www.crunchbase.com/funding_round/guardz-series-a--3dc99800,"Miami, Florida, United States, North America",Guardz,https://www.crunchbase.com/organization/guardz,Series A,18000000,USD,18000000,2023-12-13,"Artificial Intelligence (AI), Cyber Security, Information Technology, IT Management, Security, Small and Medium Businesses",Glilot Capital Partners
Series A - CyCognito,https://www.crunchbase.com/funding_round/cycognito-series-a--af1ba649,"Palo Alto, California, United States, North America",CyCognito,https://www.crunchbase.com/organization/cycognito,Series A,18000000,USD,18000000,2019-11-19,"Cloud Security, Cyber Security, Information Technology, Network Security, SaaS",Lightspeed Venture Partners
Series A - Huntress,https://www.crunchbase.com/funding_round/huntress-series-a--6c4cc4c7,"Columbia, Maryland, United States, North America",Huntress,https://www.crunchbase.com/organization/huntress,Series A,18000000,USD,18000000,2020-02-18,"Cyber Security, Information Technology, Security, Software",Forgepoint Capital
Series A - Corsha,https://www.crunchbase.com/funding_round/corsha-series-a--ce6fa81f,"Vienna, Virginia, United States, North America",Corsha,https://www.crunchbase.com/organization/corsha,Series A,18000000,USD,18000000,2025-04-08,"Cloud Security, Cyber Security, Identity Management, SaaS, Security",SineWave Ventures
Series A - Permiso Security,https://www.crunchbase.com/funding_round/permiso-security-series-a--8c3e9f56,"Palo Alto, California, United States, North America",Permiso Security,https://www.crunchbase.com/organization/permiso-security,Series A,18500000,USD,18500000,2024-04-03,"Cloud Infrastructure, Cloud Security, Cyber Security","Altimeter Capital, Point72 Ventures"
Series A - Veriti,https://www.crunchbase.com/funding_round/veriti-8be1-series-a--e59c617c,"Tel Aviv, Tel Aviv, Israel, Asia",Veriti,https://www.crunchbase.com/organization/veriti-8be1,Series A,18500000,USD,18500000,2022-11-01,"Artificial Intelligence (AI), Computer, Cyber Security, Machine Learning, Network Security",Insight Partners
Series A - Doppel,https://www.crunchbase.com/funding_round/doppel-9e9d-series-a--2a136f6b,"Covina, California, United States, North America",Doppel,https://www.crunchbase.com/organization/doppel-9e9d,Series A,18849952,USD,18849952,2024-01-02,"Artificial Intelligence (AI), Cyber Security, Risk Management, SaaS, Software",Andreessen Horowitz
Series A - Oleria,https://www.crunchbase.com/funding_round/oleria-series-a--ea251912,"Bellevue, Washington, United States, North America",Oleria,https://www.crunchbase.com/organization/oleria,Series A,18999996,USD,18999996,2025-11-06,"Cyber Security, Risk Management, Security, Software",
Series A - Balance Theory,https://www.crunchbase.com/funding_round/balance-theory-series-a--de2a7376,"Columbia, Maryland, United States, North America",Balance Theory,https://www.crunchbase.com/organization/balance-theory,Series A,19000000,USD,19000000,2026-07-31,"Collaboration, Cyber Security, Information Technology",SYN Ventures
Series A - Backslash Security,https://www.crunchbase.com/funding_round/backslash-security-series-a--e862270c,"Tel Aviv, Tel Aviv, Israel, Asia",Backslash Security,https://www.crunchbase.com/organization/backslash-security,Series A,19000000,USD,19000000,2026-02-10,"Agentic AI, Artificial Intelligence (AI), Cyber Security, Security",KOMPAS VC
Series A - watchTowr,https://www.crunchbase.com/funding_round/watchtowr-series-a--4b7836e6,"Singapore, Central Region, Singapore, Asia",watchTowr,https://www.crunchbase.com/organization/watchtowr,Series A,19000000,USD,19000000,2024-10-07,"Cyber Security, Network Security, Penetration Testing, SaaS, Software",Peak XV Partners
Series A - Binalyze,https://www.crunchbase.com/funding_round/binalyze-series-a--30399a2a,"Tallinn, Harjumaa, Estonia, Europe",Binalyze,https://www.crunchbase.com/organization/binalyze,Series A,19000000,USD,19000000,2023-09-12,"Cyber Security, Information Technology, Law Enforcement, Software",Molten Ventures
Series A - Infinipoint,https://www.crunchbase.com/funding_round/infinipoint-series-a--6af3fcc8,"Tel Aviv, Tel Aviv, Israel, Asia",Infinipoint,https://www.crunchbase.com/organization/infinipoint,Series A,19000000,USD,19000000,2021-07-27,"Cloud Security, Cyber Security, Identity Management, Information Technology, Security",
Series A - JupiterOne,https://www.crunchbase.com/funding_round/jupiterone-series-a--28d1ca80,"Durham, North Carolina, United States, North America",JupiterOne,https://www.crunchbase.com/organization/jupiterone,Series A,19000000,USD,19000000,2020-09-17,"Cloud Management, Cloud Security, Cyber Security, Information Technology",Bain Capital Ventures
Series A - Grip Security,https://www.crunchbase.com/funding_round/grip-security-series-a--54bbb29b,"Tel Aviv, Tel Aviv, Israel, Asia",Grip Security,https://www.crunchbase.com/organization/grip-security,Series A,19000000,USD,19000000,2021-12-07,"Cyber Security, Information Technology, Network Security, Productivity Tools, SaaS",Intel Capital
Series A - Baselayer,https://www.crunchbase.com/funding_round/baselayer-f1bf-series-a--d0919bf4,"New York, New York, United States, North America",Baselayer,https://www.crunchbase.com/organization/baselayer-f1bf,Series A,20000000,USD,20000000,2026-08-10,"B2B, Credit Bureau, Cyber Security, Financial Services, FinTech, Fraud Detection, Identity Management, Information Technology, Software, Virtual Reality","Koro Capital, M13"
Series A - Ocean,https://www.crunchbase.com/funding_round/ocean-3b7c-series-a--e8db4419,"New York, New York, United States, North America",Ocean,https://www.crunchbase.com/organization/ocean-3b7c,Series A,20000000,USD,20000000,2026-05-19,"Agentic AI, Cyber Security, Enterprise Software, Network Security",Lightspeed Venture Partners
Series A - Tracebit,https://www.crunchbase.com/funding_round/tracebit-series-a--24559dd5,"Manhattan, New York, United States, North America",Tracebit,https://www.crunchbase.com/organization/tracebit,Series A,20000000,USD,20000000,2026-03-17,"Cloud Security, Cyber Security, Intrusion Detection",FirstMark
Series A - Prime Security,https://www.crunchbase.com/funding_round/prime-security-series-a--ed571345,"New York, New York, United States, North America",Prime Security,https://www.crunchbase.com/organization/prime-security,Series A,20000000,USD,20000000,2025-12-09,"Artificial Intelligence (AI), Cyber Security",Scale Venture Partners
Series A - Clutch Security,https://www.crunchbase.com/funding_round/clutch-security-series-a--70221350,"Wilmington, Delaware, United States, North America",Clutch Security,https://www.crunchbase.com/organization/clutch-security,Series A,20000000,USD,20000000,2025-01-29,"Agentic AI, Cyber Security, Network Security, Privacy",SignalFire
Series A - SquareX,https://www.crunchbase.com/funding_round/squarex-dca3-series-a--11695f45,"Palo Alto, California, United States, North America",SquareX,https://www.crunchbase.com/organization/squarex-dca3,Series A,20000000,USD,20000000,2025-04-24,"Cyber Security, Information Technology, SaaS","SYN Ventures, Wipro"
Series A - Glide.id,https://www.crunchbase.com/funding_round/glide-identity-series-a--1f3189e8,"San Francisco, California, United States, North America",Glide.id,https://www.crunchbase.com/organization/glide-identity,Series A,20000000,USD,20000000,2025-10-13,"Cyber Security, Developer APIs, Identity Management, Privacy, Telecommunications",Crosspoint Capital Partners
Series A - Lakera,https://www.crunchbase.com/funding_round/lakera-ai-series-a--8e898f1e,"San Francisco, California, United States, North America",Lakera,https://www.crunchbase.com/organization/lakera-ai,Series A,20000000,USD,20000000,2024-07-24,"Artificial Intelligence (AI), Cyber Security, Security, Software",Atomico
Series A - Token Security,https://www.crunchbase.com/funding_round/token-security-series-a--3e30ba50,"Tel Aviv, Tel Aviv, Israel, Asia",Token Security,https://www.crunchbase.com/organization/token-security,Series A,20000000,USD,20000000,2025-01-28,"Agentic AI, Cyber Security, Network Security, Privacy",Notable Capital
Series A - EasyDMARC,https://www.crunchbase.com/funding_round/easydmarc-series-a--1034e55a,"Dover, Delaware, United States, North America",EasyDMARC,https://www.crunchbase.com/organization/easydmarc,Series A,20000000,USD,20000000,2024-09-16,"Cyber Security, Email, Information Technology, Internet of Things, Network Security",Radian Capital
Series A - Shufti,https://www.crunchbase.com/funding_round/shufti-pro-series-a--4e544607,"London, England, United Kingdom, Europe",Shufti,https://www.crunchbase.com/organization/shufti-pro,Series A,20000000,USD,20000000,2022-03-15,"Compliance, Cyber Security, Finance, Financial Services, FinTech, Fraud Detection, Identity Management, Information Technology, Internet of Things, SaaS",Updata Partners
Series A - Socket,https://www.crunchbase.com/funding_round/socket-741b-series-a--c4a5fc5e,"Stanford, California, United States, North America",Socket,https://www.crunchbase.com/organization/socket-741b,Series A,20000000,USD,20000000,2023-08-01,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Developer Tools, Internet, Open Source, Security, Software",Andreessen Horowitz
Series A - Cato Networks,https://www.crunchbase.com/funding_round/cato-networks-series-a--518db196,"Tel Aviv, Tel Aviv, Israel, Asia",Cato Networks,https://www.crunchbase.com/organization/cato-networks,Series A,20000000,USD,20000000,2015-10-27,"Cloud Computing, Cyber Security, Information Technology, Network Security, Software","Aspect Ventures, U.S. Venture Partners"
Series A - Satori Cyber,https://www.crunchbase.com/funding_round/satori-cyber-series-a--98d15c74,"Tel Aviv, Tel Aviv, Israel, Asia",Satori Cyber,https://www.crunchbase.com/organization/satori-cyber,Series A,20000000,USD,20000000,2021-09-14,"Cloud Security, Cyber Security, Network Security","B Capital, Evolution Equity Partners"
Series A - Expanse,https://www.crunchbase.com/funding_round/expanse-inc-series-a--4fa75046,"San Francisco, California, United States, North America",Expanse,https://www.crunchbase.com/organization/expanse-inc,Series A,20000000,USD,20000000,2016-06-05,"Cyber Security, Information Technology, Security, Software",New Enterprise Associates
Series A - Oligo Security,https://www.crunchbase.com/funding_round/oligo-security-series-a--c72b91de,"New York, New York, United States, North America",Oligo Security,https://www.crunchbase.com/organization/oligo-security,Series A,20000000,USD,20000000,2023-02-15,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Enterprise Software, Network Security",Ballistic Ventures
Series A - Hydrolix,https://www.crunchbase.com/funding_round/hydrolix-series-a--08254b19,"Portland, Oregon, United States, North America",Hydrolix,https://www.crunchbase.com/organization/hydrolix,Series A,20000000,USD,20000000,2023-06-05,"Cloud Data Services, Cyber Security, Database, Information Technology, Internet, Machine Learning",Nava Ventures
Series A - Fireglass,https://www.crunchbase.com/funding_round/fireglass-series-a--8f0df555,"Tel Aviv, Tel Aviv, Israel, Asia",Fireglass,https://www.crunchbase.com/organization/fireglass,Series A,20000000,USD,20000000,2016-02-16,"Cyber Security, Network Security, Online Portals","Lightspeed Venture Partners, Norwest, Singtel Innov8"
Series A - Stairwell,https://www.crunchbase.com/funding_round/stairwell-series-a--f41ef1fd,"Mountain View, California, United States, North America",Stairwell,https://www.crunchbase.com/organization/stairwell,Series A,20000000,USD,20000000,2021-09-21,"Cyber Security, Information Technology, Network Security, Security, Software","Accel, Sequoia Capital"
Series A - Sublime Security,https://www.crunchbase.com/funding_round/sublime-security-series-a--678b5eb0,"Washington, District of Columbia, United States, North America",Sublime Security,https://www.crunchbase.com/organization/sublime-security,Series A,20000000,USD,20000000,2024-04-24,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Network Security",Index Ventures
Series A - SenseOn,https://www.crunchbase.com/funding_round/senseon-series-a--6ffbae66,"London, England, United Kingdom, Europe",SenseOn,https://www.crunchbase.com/organization/senseon,Series A,20000000,USD,20000000,2021-09-27,"Artificial Intelligence (AI), Cyber Security, Information Technology, Machine Learning, Software",Eight Roads Ventures
Series A - Elpha Secure,https://www.crunchbase.com/funding_round/elpha-secure-series-a--817f0fe7,"New York, New York, United States, North America",Elpha Secure,https://www.crunchbase.com/organization/elpha-secure,Series A,20000000,USD,20000000,2022-10-06,"Cyber Security, Insurance, InsurTech, Software",Canapi Ventures
Series A - Tausight,https://www.crunchbase.com/funding_round/tausight-series-a--e6d76676,"Boston, Massachusetts, United States, North America",Tausight,https://www.crunchbase.com/organization/tausight,Series A,20000000,USD,20000000,2021-03-10,"Cyber Security, Health Care, Information Technology, Software","Flare Capital Partners, Polaris Partners"
Series A - OneKey Customer Service,https://www.crunchbase.com/funding_round/onekey-4263-series-a--2477a69e,"Hong Kong, Hong Kong Island, Hong Kong, Asia",OneKey Customer Service,https://www.crunchbase.com/organization/onekey-4263,Series A,20000000,USD,20000000,2022-09-28,"Cryptocurrency, Cyber Security, Infrastructure, SaaS","Dragonfly, Ribbit Capital"
Series A - Randori,https://www.crunchbase.com/funding_round/randori-series-a--d8b342f4,"Waltham, Massachusetts, United States, North America",Randori,https://www.crunchbase.com/organization/randori,Series A,20000000,USD,20000000,2020-04-23,"Computer, Cyber Security, Network Security, SaaS",Harmony Partners
Series A - Confluera,https://www.crunchbase.com/funding_round/confluera-series-a--90584c7e,"Palo Alto, California, United States, North America",Confluera,https://www.crunchbase.com/organization/confluera,Series A,20000000,USD,20000000,2020-05-19,"Cyber Security, Information Technology, Network Security, Security, Software",Icon Ventures
Series A - SolCyber,https://www.crunchbase.com/funding_round/solcyber-series-a--b64dbc5e,"Dallas, Texas, United States, North America",SolCyber,https://www.crunchbase.com/organization/solcyber,Series A,20000000,USD,20000000,2021-07-29,"Computer, Cyber Security, Network Security",Forgepoint Capital
Series A - Reco,https://www.crunchbase.com/funding_round/reco-67bb-series-a--f5ef554f,"Altamonte Springs, Florida, United States, North America",Reco,https://www.crunchbase.com/organization/reco-67bb,Series A,20000000,USD,20000000,2022-06-03,"Artificial Intelligence (AI), Cyber Security, Generative AI, SaaS","Insight Partners, Zeev Ventures"
Series A - ThriveDX,https://www.crunchbase.com/funding_round/hackeru-series-a--19d0c398,"Coral Gables, Florida, United States, North America",ThriveDX,https://www.crunchbase.com/organization/hackeru,Series A,20000000,USD,20000000,2017-02-04,"Cyber Security, EdTech, Education",PRYTEK
Series A - Hypori,https://www.crunchbase.com/funding_round/Hypori-series-a--0d5432d2,"Reston, Virginia, United States, North America",Hypori,https://www.crunchbase.com/organization/Hypori,Series A,20000000,USD,20000000,2021-06-01,"Cyber Security, SaaS, Software, Virtualization",GreatPoint Ventures
Series A - Bright Security,https://www.crunchbase.com/funding_round/neuralegion-series-a--9c831298,"San Rafael, California, United States, North America",Bright Security,https://www.crunchbase.com/organization/neuralegion,Series A,20000000,USD,20000000,2022-03-01,"Apps, Artificial Intelligence (AI), Cyber Security, Developer APIs, DevOps, Machine Learning, SaaS, Security, Software, Web Development",Evolution Equity Partners
Series A - Blink Ops,https://www.crunchbase.com/funding_round/blink-ffe8-series-a--e06f497a,"Austin, Texas, United States, North America",Blink Ops,https://www.crunchbase.com/organization/blink-ffe8,Series A,20000000,USD,20000000,2022-03-08,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Productivity Tools, SaaS",Lightspeed Venture Partners
Series A - CyberHash,https://www.crunchbase.com/funding_round/cyberhash-series-a--21432f0d,"Singapore, Central Region, Singapore, Asia",CyberHash,https://www.crunchbase.com/organization/cyberhash,Series A,20000000,USD,20000000,2021-12-30,"Blockchain, Cloud Storage, Cyber Security, Data Storage",
Series A - Cycode,https://www.crunchbase.com/funding_round/cycode-series-a--2e2517d4,"New York, New York, United States, North America",Cycode,https://www.crunchbase.com/organization/cycode,Series A,20000000,USD,20000000,2021-05-11,"Cyber Security, Data Management, Software",Insight Partners
Series A - Oscilar,https://www.crunchbase.com/funding_round/oscilar-series-a--ea3260d8,"Palo Alto, California, United States, North America",Oscilar,https://www.crunchbase.com/organization/oscilar,Series A,20000000,USD,20000000,2021-07-05,"Compliance, Credit, Cyber Security, FinTech, Fraud Detection, Operating Systems, Risk Management, Security",
Series A - Salt Security,https://www.crunchbase.com/funding_round/saltsecurity-series-a--5717c873,"Palo Alto, California, United States, North America",Salt Security,https://www.crunchbase.com/organization/saltsecurity,Series A,20000000,USD,20000000,2020-06-16,"Artificial Intelligence (AI), Cyber Security, Developer APIs, Machine Learning",Tenaya Capital
Series A - Cowbell,https://www.crunchbase.com/funding_round/cowbell-cyber-inc-series-a--5c401a7f,"Pleasanton, California, United States, North America",Cowbell,https://www.crunchbase.com/organization/cowbell-cyber-inc,Series A,20000000,USD,20000000,2021-03-11,"Artificial Intelligence (AI), Cyber Security, FinTech, Insurance, InsurTech, Risk Management",Brewer Lane Ventures
Series A - Traceable,https://www.crunchbase.com/funding_round/traceable-series-a--4c190910,"San Francisco, California, United States, North America",Traceable,https://www.crunchbase.com/organization/traceable,Series A,20000000,USD,20000000,2020-07-14,"Artificial Intelligence (AI), Cyber Security, Fraud Detection, Network Security, SaaS, Software",Unusual Ventures
Series A - Fleet Device Management,https://www.crunchbase.com/funding_round/fleet-device-management-series-a--3f7ae193,"San Francisco, California, United States, North America",Fleet Device Management,https://www.crunchbase.com/organization/fleet-device-management,Series A,20000000,USD,20000000,2022-04-28,"Cyber Security, IT Infrastructure, IT Management, Network Security, Software",CRV
Series A - Doppler,https://www.crunchbase.com/funding_round/doppler-series-a--d1c7dbd8,"San Francisco, California, United States, North America",Doppler,https://www.crunchbase.com/organization/doppler,Series A,20000000,USD,20000000,2022-04-27,"Apps, Cyber Security, Information Technology, Productivity Tools, Security, Software",CRV
Series A - Reach Security,https://www.crunchbase.com/funding_round/reach-security-series-a--5a89f78a,"San Francisco, California, United States, North America",Reach Security,https://www.crunchbase.com/organization/reach-security,Series A,20000000,USD,20000000,2024-03-07,Cyber Security,Ballistic Ventures
Series A - PQShield,https://www.crunchbase.com/funding_round/pqshield-series-a--9d6f8568,"Oxford, Oxfordshire, United Kingdom, Europe",PQShield,https://www.crunchbase.com/organization/pqshield,Series A,20000000,USD,20000000,2022-01-26,"Cyber Security, Network Security, Quantum Computing, Software",Addition
Series A - Torq,https://www.crunchbase.com/funding_round/torq-technologies-series-a--0011cb09,"Tel Aviv, Tel Aviv, Israel, Asia",Torq,https://www.crunchbase.com/organization/torq-technologies,Series A,20000000,USD,20000000,2021-01-19,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Software",Notable Capital
Series A - Shift5,https://www.crunchbase.com/funding_round/shift5-series-a--aa22c1ba,"Arlington, Virginia, United States, North America",Shift5,https://www.crunchbase.com/organization/shift5,Series A,20000000,USD,20000000,2021-10-12,"Aerospace, Cyber Security, GPS, Hardware, Navigation, Software, Transportation",645 Ventures
Series A - ObserveIT,https://www.crunchbase.com/funding_round/observeit-series-a--1eb7381e,"Boston, Massachusetts, United States, North America",ObserveIT,https://www.crunchbase.com/organization/observeit,Series A,20000000,USD,20000000,2013-12-09,"Cloud Security, Compliance, Cyber Security, Information Services, Information Technology, Software",Bain Capital Ventures
Series A - Cynomi,https://www.crunchbase.com/funding_round/cynomi-series-a--bdafdc44,"Herzliya, Tel Aviv, Israel, Asia",Cynomi,https://www.crunchbase.com/organization/cynomi,Series A,20000000,USD,20000000,2024-04-16,"Artificial Intelligence (AI), Cyber Security, Information Technology, Network Security, Risk Management",Canaan Partners
Series A - Tempered,https://www.crunchbase.com/funding_round/tempered-networks-series-a--f7a5f266,"Seattle, Washington, United States, North America",Tempered,https://www.crunchbase.com/organization/tempered-networks,Series A,20050000,USD,20050000,2015-03-03,"Communications Infrastructure, Cyber Security, Network Security, Security",Ignition Partners
Series A - Zero Networks,https://www.crunchbase.com/funding_round/zero-networks-series-a--d39e3cc3,"Orlando, Florida, United States, North America",Zero Networks,https://www.crunchbase.com/organization/zero-networks,Series A,20300000,USD,20300000,2022-02-22,"Cyber Security, Data Center Automation, Information Technology, Network Security",Venrock
Series A - Orca Security,https://www.crunchbase.com/funding_round/orca-security-series-a--16b0f87d,"Portland, Oregon, United States, North America",Orca Security,https://www.crunchbase.com/organization/orca-security,Series A,20500000,USD,20500000,2020-03-05,"Cloud Computing, Cloud Security, Compliance, Cyber Security, Information Technology, SaaS, Security",Notable Capital
Series A - Straiker,https://www.crunchbase.com/funding_round/straiker-series-a--3a7bf60e,"Sunnyvale, California, United States, North America",Straiker,https://www.crunchbase.com/organization/straiker,Series A,21000000,USD,21000000,2025-03-27,"Artificial Intelligence (AI), Cyber Security, Network Security, Software","Bain Capital Ventures, Lightspeed Venture Partners"
Series A - Iru,https://www.crunchbase.com/funding_round/kandji-series-a--dea1387b,"Miami, Florida, United States, North America",Iru,https://www.crunchbase.com/organization/kandji,Series A,21000000,USD,21000000,2020-10-28,"Artificial Intelligence (AI), Cyber Security, Information Technology, iOS, Management Consulting, Mobile, Software",Greycroft
Series A - GuardKnox,https://www.crunchbase.com/funding_round/guardknox-series-a--e18f18b3,"Ramla, HaMerkaz, Israel, Asia",GuardKnox,https://www.crunchbase.com/organization/guardknox,Series A,21000000,USD,21000000,2019-06-04,"Automotive, Cyber Security, Embedded Systems, Hardware, Software",FM Capital
Series A - CyberSaint Security,https://www.crunchbase.com/funding_round/cybersaint-series-a--23d483ff,"Boston, Massachusetts, United States, North America",CyberSaint Security,https://www.crunchbase.com/organization/cybersaint,Series A,21000000,USD,21000000,2024-03-20,"Compliance, Cyber Security, Risk Management, Software",Riverside Acceleration Capital
Series A - SecurityPal,https://www.crunchbase.com/funding_round/securitypal-series-a--96476565,"San Francisco, California, United States, North America",SecurityPal,https://www.crunchbase.com/organization/securitypal,Series A,21000000,USD,21000000,2022-09-20,"Artificial Intelligence (AI), Cyber Security, Network Security, SaaS",Craft Ventures
Series A - Xage Security,https://www.crunchbase.com/funding_round/xage-security-series-a--f8789b92,"Palo Alto, California, United States, North America",Xage Security,https://www.crunchbase.com/organization/xage-security,Series A,21000000,USD,21000000,2018-12-28,"Blockchain, Cloud Security, Cyber Security, Information Technology, Internet of Things, Network Security",March Capital
Series A - Cyolo,https://www.crunchbase.com/funding_round/cyolo-series-a--0af3fe70,"Ramat Gan, Tel Aviv, Israel, Asia",Cyolo,https://www.crunchbase.com/organization/cyolo,Series A,21000000,USD,21000000,2021-07-28,"Cyber Security, Network Security",Glilot Capital Partners
Series A - Method Security,https://www.crunchbase.com/funding_round/method-security-series-a--d22f7b18,"New York, New York, United States, North America",Method Security,https://www.crunchbase.com/organization/method-security,Series A,21500000,USD,21500000,2025-11-19,"Artificial Intelligence (AI), Cyber Security, SaaS, Security, Software","Andreessen Horowitz, General Catalyst"
Series A - CloudMosa,https://www.crunchbase.com/funding_round/cloudmosa-series-a--decdd261,"Cupertino, California, United States, North America",CloudMosa,https://www.crunchbase.com/organization/cloudmosa,Series A,21625000,USD,21625000,2015-07-11,"Cloud Computing, Cyber Security, Enterprise, Web Browsers",GIC
Series A - Red Balloon Security,https://www.crunchbase.com/funding_round/red-balloon-secrurity-series-a--c5d18392,"New York, New York, United States, North America",Red Balloon Security,https://www.crunchbase.com/organization/red-balloon-secrurity,Series A,21900000,USD,21900000,2018-04-03,"Cyber Security, Embedded Systems, Internet of Things, Network Security, Software",Bain Capital Ventures
Series A - Utila,https://www.crunchbase.com/funding_round/utila-1da8-series-a--bd89bab6,"New York, New York, United States, North America",Utila,https://www.crunchbase.com/organization/utila-1da8,Series A,22000000,USD,22000000,2025-09-03,"Asset Management, Blockchain, Cyber Security, Financial Services",Red Dot Capital Partners
Series A - Unqork,https://www.crunchbase.com/funding_round/unqork-series-a--202d57c3,"New York, New York, United States, North America",Unqork,https://www.crunchbase.com/organization/unqork,Series A,22000000,USD,22000000,2019-04-18,"Compliance, Cyber Security, Data Integration, Enterprise, Enterprise Applications, Financial Services, FinTech, Productivity Tools, SaaS, Software",Goldman Sachs Growth Equity
Series A - Material Security,https://www.crunchbase.com/funding_round/material-security-series-a--219cf307,"Redwood City, California, United States, North America",Material Security,https://www.crunchbase.com/organization/material-security,Series A,22000000,USD,22000000,2020-06-30,"Cyber Security, Email, Management Information Systems, Network Security, Software",Andreessen Horowitz
Series A - XBOW,https://www.crunchbase.com/funding_round/xbow-series-a--1313d0a3,"Seattle, Washington, United States, North America",XBOW,https://www.crunchbase.com/organization/xbow,Series A,22000000,USD,22000000,2025-01-01,"Artificial Intelligence (AI), Computer, Cyber Security, Network Security, Penetration Testing","Nat Friedman, Sequoia Capital"
Series A - XM Cyber,https://www.crunchbase.com/funding_round/xm-cyber-series-a--1e12da5e,"Herzliya, Tel Aviv, Israel, Asia",XM Cyber,https://www.crunchbase.com/organization/xm-cyber,Series A,22000000,USD,22000000,2018-11-13,"Cloud Security, Cyber Security, Network Security, Risk Management, Security",
Series A - Normalyze,https://www.crunchbase.com/funding_round/normalyze-series-a--03a4ca8e,"Los Altos, California, United States, North America",Normalyze,https://www.crunchbase.com/organization/normalyze,Series A,22200000,USD,22200000,2022-06-28,"Cloud Data Services, Cloud Security, Cyber Security, Enterprise Software, Security","Battery Ventures, Lightspeed Venture Partners"
Series A - Nudge Security,https://www.crunchbase.com/funding_round/nudge-security-series-a--b6221062,"Austin, Texas, United States, North America",Nudge Security,https://www.crunchbase.com/organization/nudge-security,Series A,22500000,USD,22500000,2025-11-18,"Cyber Security, Information Technology, SaaS",Cerberus Ventures
Series A - Ory Corp,https://www.crunchbase.com/funding_round/ory-series-a--76ddde67,"Scottsdale, Arizona, United States, North America",Ory Corp,https://www.crunchbase.com/organization/ory,Series A,22500000,USD,22500000,2021-12-16,"Cloud Security, Cyber Security, Identity Management, Information Technology, Open Source, Software",Insight Partners
Series A - Evina,https://www.crunchbase.com/funding_round/evina-series-a--dd4bf7fb,"Paris, Ile-de-France, France, Europe",Evina,https://www.crunchbase.com/organization/evina,Series A,20000000,EUR,22735695,2021-11-18,"Cyber Security, Fraud Detection, Mobile Payments, SaaS",Radian Capital
Series A - Gem,https://www.crunchbase.com/funding_round/gem-f4a1-series-a--fb15d44f,"New York, New York, United States, North America",Gem,https://www.crunchbase.com/organization/gem-f4a1,Series A,23000000,USD,23000000,2023-09-27,"Cloud Security, Cyber Security, Network Security","GGV Capital, Notable Capital"
Series A - TruU,https://www.crunchbase.com/funding_round/truu-series-a--42301b29,"Santa Clara, California, United States, North America",TruU,https://www.crunchbase.com/organization/truu,Series A,23000000,USD,23000000,2022-04-25,"Cyber Security, Identity Management, Physical Security, Security",CXO Fund
Series A - RevealSecurity,https://www.crunchbase.com/funding_round/revealsecurity-series-a--1655eedc,"New York, New York, United States, North America",RevealSecurity,https://www.crunchbase.com/organization/revealsecurity,Series A,23000000,USD,23000000,2022-06-21,"Analytics, Business Intelligence, Cloud Security, Cyber Security, Fraud Detection, Intrusion Detection, Risk Management",SYN Ventures
Series A - Trinity Cyber,https://www.crunchbase.com/funding_round/trinity-cyber-series-a--fea1cd65,"Bowie, Maryland, United States, North America",Trinity Cyber,https://www.crunchbase.com/organization/trinity-cyber,Series A,23000000,USD,23000000,2019-07-29,"Cyber Security, Information Technology, Software",Intel Capital
Series A - Nagomi Security,https://www.crunchbase.com/funding_round/vena-security-series-a--afaf0581,"New York, New York, United States, North America",Nagomi Security,https://www.crunchbase.com/organization/vena-security,Series A,23000000,USD,23000000,2024-04-23,"Cyber Security, PaaS, Software",TCV
